time,concentration,value,abs_c,D
5,5.0,0.3675,0.2,0.3675
5,5.0,0.4545,0.2,0.4545
5,5.0,0.486,0.2,0.486
5,5.0,0.4554,0.2,0.4554
5,5.0,0.4162,0.2,0.4162
5,5.0,0.3665,0.2,0.3665
5,2.5,0.209,0.1,0.418
5,2.5,0.249,0.1,0.498
5,2.5,0.2595,0.1,0.519
5,2.5,0.3168,0.1,0.6336
5,2.5,0.1917,0.1,0.3834
5,2.5,0.1992,0.1,0.3984
5,1.25,0.1042,0.05,0.4168
5,1.25,0.1284,0.05,0.5136
5,1.25,0.127,0.05,0.508
5,1.25,0.1206,0.05,0.4824
5,1.25,0.1055,0.05,0.422
5,1.25,0.136,0.05,0.544
5,0.625,0.0508,0.025,0.4064
5,0.625,0.0574,0.025,0.4592
5,0.625,0.054,0.025,0.432
5,0.625,0.0424,0.025,0.3392
5,0.625,0.0546,0.025,0.4368
5,0.625,0.0554,0.025,0.4432
10,5.0,0.8449,0.2,0.42245
10,5.0,0.8454,0.2,0.4227
10,5.0,0.8169,0.2,0.40845
10,5.0,0.6784,0.2,0.3392
10,5.0,0.7384,0.2,0.3692
10,5.0,0.7392,0.2,0.3696
10,2.5,0.5589,0.1,0.5589
10,2.5,0.5508,0.1,0.5508
10,2.5,0.5184,0.1,0.5184
10,2.5,0.4011,0.1,0.4011
10,2.5,0.3287,0.1,0.3287
10,2.5,0.3947,0.1,0.3947
10,1.25,0.2183,0.05,0.4366
10,1.25,0.261,0.05,0.522
10,1.25,0.2255,0.05,0.451
10,1.25,0.1681,0.05,0.3362
10,1.25,0.2084,0.05,0.4168
10,1.25,0.2084,0.05,0.4168
10,0.625,0.1342,0.025,0.5368
10,0.625,0.1007,0.025,0.4028
10,0.625,0.074,0.025,0.296
10,0.625,0.1201,0.025,0.4804
10,0.625,0.0963,0.025,0.3852
10,0.625,0.09,0.025,0.36
